date,brand,category,season,sim_price,sim_demand
2024-01-01,Ann Taylor,Accessories,Winter,39.34,20.45
2024-01-08,Ann Taylor,Accessories,Winter,38.66,20.05
2024-01-15,Ann Taylor,Accessories,Winter,40.35,20.07
2024-01-22,Ann Taylor,Accessories,Winter,40.28,21.57
2024-01-29,Ann Taylor,Accessories,Winter,40.37,17.39
2024-02-05,Ann Taylor,Accessories,Winter,40.33,18.74
2024-02-12,Ann Taylor,Accessories,Winter,40.99,21.49
2024-02-19,Ann Taylor,Accessories,Winter,39.39,18.65
2024-02-26,Ann Taylor,Accessories,Winter,40.43,19.03
2024-03-04,Ann Taylor,Accessories,Spring,39.7,22.8
2024-03-11,Ann Taylor,Accessories,Spring,39.35,23.81
2024-03-18,Ann Taylor,Accessories,Spring,37.6,26.87
2024-03-25,Ann Taylor,Accessories,Spring,39.62,24.2
2024-04-01,Ann Taylor,Accessories,Spring,41.25,20.27
2024-04-08,Ann Taylor,Accessories,Spring,43.11,21.19
2024-04-15,Ann Taylor,Accessories,Spring,40.99,20.87
2024-04-22,Ann Taylor,Accessories,Spring,42.05,22.55
2024-04-29,Ann Taylor,Accessories,Spring,40.93,20.55
2024-05-06,Ann Taylor,Accessories,Spring,41.96,22.87
2024-05-13,Ann Taylor,Accessories,Spring,41.13,22.72
2024-05-20,Ann Taylor,Accessories,Spring,40.14,21.57
2024-05-27,Ann Taylor,Accessories,Spring,39.46,23.0
2024-06-03,Ann Taylor,Accessories,Summer,38.85,28.55
2024-06-10,Ann Taylor,Accessories,Summer,36.92,24.96
2024-06-17,Ann Taylor,Accessories,Summer,35.44,27.97
2024-06-24,Ann Taylor,Accessories,Summer,35.62,28.4
2024-07-01,Ann Taylor,Accessories,Summer,37.91,25.92
2024-07-08,Ann Taylor,Accessories,Summer,36.27,32.91
2024-07-15,Ann Taylor,Accessories,Summer,35.83,28.42
2024-07-22,Ann Taylor,Accessories,Summer,37.16,27.22
2024-07-29,Ann Taylor,Accessories,Summer,36.43,25.14
2024-08-05,Ann Taylor,Accessories,Summer,36.4,25.01
2024-08-12,Ann Taylor,Accessories,Summer,33.14,36.3
2024-08-19,Ann Taylor,Accessories,Summer,34.75,26.91
2024-08-26,Ann Taylor,Accessories,Summer,36.15,29.95
2024-09-02,Ann Taylor,Accessories,Fall,35.94,26.52
2024-09-09,Ann Taylor,Accessories,Fall,35.47,24.04
2024-09-16,Ann Taylor,Accessories,Fall,34.86,21.98
2024-09-23,Ann Taylor,Accessories,Fall,34.52,26.61
2024-09-30,Ann Taylor,Accessories,Fall,35.81,25.07
2024-10-07,Ann Taylor,Accessories,Fall,37.58,21.68
2024-10-14,Ann Taylor,Accessories,Fall,37.17,24.45
2024-10-21,Ann Taylor,Accessories,Fall,40.64,22.55
2024-10-28,Ann Taylor,Accessories,Fall,39.11,23.98
2024-11-04,Ann Taylor,Accessories,Fall,40.88,21.08
2024-11-11,Ann Taylor,Accessories,Fall,42.45,21.02
2024-11-18,Ann Taylor,Accessories,Fall,41.58,22.75
2024-11-25,Ann Taylor,Accessories,Fall,38.68,18.64
2024-12-02,Ann Taylor,Accessories,Winter,37.8,24.22
2024-12-09,Ann Taylor,Accessories,Winter,40.35,20.56
2024-12-16,Ann Taylor,Accessories,Winter,38.32,21.82
2024-12-23,Ann Taylor,Accessories,Winter,36.86,22.71
2024-12-30,Ann Taylor,Accessories,Winter,35.82,21.99
2024-01-01,Ann Taylor,Bottoms,Winter,51.48,11.65
2024-01-08,Ann Taylor,Bottoms,Winter,50.09,13.15
2024-01-15,Ann Taylor,Bottoms,Winter,53.88,11.69
2024-01-22,Ann Taylor,Bottoms,Winter,51.93,11.66
2024-01-29,Ann Taylor,Bottoms,Winter,49.08,11.99
2024-02-05,Ann Taylor,Bottoms,Winter,50.83,13.41
2024-02-12,Ann Taylor,Bottoms,Winter,50.61,11.31
2024-02-19,Ann Taylor,Bottoms,Winter,51.32,11.11
2024-02-26,Ann Taylor,Bottoms,Winter,50.34,12.43
2024-03-04,Ann Taylor,Bottoms,Spring,50.9,14.35
2024-03-11,Ann Taylor,Bottoms,Spring,53.02,14.65
2024-03-18,Ann Taylor,Bottoms,Spring,51.49,16.47
2024-03-25,Ann Taylor,Bottoms,Spring,51.85,15.59
2024-04-01,Ann Taylor,Bottoms,Spring,52.28,15.42
2024-04-08,Ann Taylor,Bottoms,Spring,55.63,13.58
2024-04-15,Ann Taylor,Bottoms,Spring,52.82,14.01
2024-04-22,Ann Taylor,Bottoms,Spring,53.48,13.57
2024-04-29,Ann Taylor,Bottoms,Spring,50.96,14.93
2024-05-06,Ann Taylor,Bottoms,Spring,47.2,17.28
2024-05-13,Ann Taylor,Bottoms,Spring,47.64,16.37
2024-05-20,Ann Taylor,Bottoms,Spring,48.93,14.88
2024-05-27,Ann Taylor,Bottoms,Spring,47.91,13.59
2024-06-03,Ann Taylor,Bottoms,Summer,45.47,18.24
2024-06-10,Ann Taylor,Bottoms,Summer,47.76,18.99
2024-06-17,Ann Taylor,Bottoms,Summer,45.91,19.71
2024-06-24,Ann Taylor,Bottoms,Summer,47.56,16.0
2024-07-01,Ann Taylor,Bottoms,Summer,50.0,17.68
2024-07-08,Ann Taylor,Bottoms,Summer,49.73,16.44
2024-07-15,Ann Taylor,Bottoms,Summer,48.01,15.9
2024-07-22,Ann Taylor,Bottoms,Summer,42.52,18.72
2024-07-29,Ann Taylor,Bottoms,Summer,45.68,17.89
2024-08-05,Ann Taylor,Bottoms,Summer,46.14,19.32
2024-08-12,Ann Taylor,Bottoms,Summer,44.63,19.42
